word	aff_prop	kmeans_5	kmeans_7	averaging	aff_prop_clusters
player_nn	0.11581591505433467	0.04232403729510814	0.053833299144227936	5.960464477539063e-08	23
rag_nn	0.10519513055685517	0.029567941611272838	0.04593242758445531	0.0	13
relationship_nn	0.09723054992634919	0.009903297133540809	0.017255989428964877	-1.1920928955078125e-07	36
chairman_nn	0.0951027949283294	0.016139268287082432	0.015675749690210145	0.0	48
tip_vb	0.07811513764914461	0.006413336968572773	0.025236686956033507	0.0	20
graft_nn	0.0775931728226772	0.00716889206355302	0.05200340477003515	0.0	16
edge_nn	0.07720718707145185	0.01768003442538002	0.014039475439878005	-1.1920928955078125e-07	54
plane_nn	0.07077330919908574	0.004881796929539715	0.015463111444602414	5.960464477539063e-08	38
savage_nn	0.0701591185726396	0.008143946574147019	0.01378839447622575	0.0	36
record_nn	0.059828052839755355	0.018009812934610073	0.018094498391860094	0.0	56
bag_nn	0.05704987234138698	0.00681656771701957	0.014729128859334212	0.0	37
pin_vb	0.05634528910262316	0.0034633820056907943	0.01612606862174668	0.0	18
word_nn	0.0545354946407806	0.012536405666970325	0.014432593312387502	-1.1920928955078125e-07	114
attack_nn	0.05434565461668564	0.013643470696456713	0.01827593150659182	0.0	50
thump_nn	0.05375843547403561	0.009062249216290902	0.01059060167580686	-1.1920928955078125e-07	13
lane_nn	0.05311369379643084	0.024139344259604244	0.035488697745778675	5.960464477539063e-08	22
donkey_nn	0.05289847458627096	0.005701713178327623	0.021678338692426243	0.0	14
prop_nn	0.05177014806980385	0.03995527426328879	0.052078504792972075	-1.1920928955078125e-07	11
quilt_nn	0.05155962082713826	0.011031330055848637	0.014335246063103702	0.0	13
head_nn	0.050977637924667585	0.008361079552070449	0.007321241089061771	0.0	195
bit_nn	0.05038797607606613	0.01158406673309853	0.010141202976393211	0.0	57
part_nn	0.04944636007866454	0.009937625029754557	0.011208864086364838	-1.1920928955078125e-07	199
ball_nn	0.04791209448730789	0.01272600197651484	0.013723196998268539	0.0	47
gas_nn	0.046930864304600424	0.00700857474433109	0.01006950620768997	-1.1920928955078125e-07	38
land_nn	0.04516888932961857	0.008059307854274783	0.010138586129904979	-2.384185791015625e-07	103
stab_nn	0.044219748959014635	0.015833573306180584	0.029251020643893094	0.0	12
risk_nn	0.04310972266249308	0.009661183369216234	0.012423503283460133	5.960464477539063e-08	40
contemplation_nn	0.043044115731165775	0.014815652988672157	0.020398071793808738	0.0	21
tree_nn	0.0426608810089726	0.0069258236701636704	0.00790194013453167	-1.1920928955078125e-07	68
circle_vb	0.03900894062870082	0.004062787026659779	0.0034609571958575027	5.960464477539063e-08	40
stroke_vb	0.03564508217034068	0.01653712697481271	0.018757803648538046	0.0	22
face_nn	0.03556172504150077	0.0034352655066559063	0.002964063396760185	0.0	199
fiction_nn	0.03279385855971666	0.014735851369332705	0.01799091264486247	0.0	28
lass_nn	0.03037017762538765	0.0075720494765809535	0.025511519540083103	0.0	13
twist_nn	0.030138778329770508	0.0014598262788978744	0.0016978032505902746	-2.384185791015625e-07	19
ounce_nn	0.02889325294480978	0.012229507983676505	0.02747193681506698	0.0	14
multitude_nn	0.022562882013009045	0.004385031167683329	0.00846807041028957	0.0	23
